imobiliaria,link,data_coleta,titulo,endereco,bairro,tipo_locacao,preco_aluguel,preco_condominio,preco_iptu,quartos,vagas_garagem,area,suites
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/04744003/apartamento-1-quarto-dallas-centro-curitiba/,2023-11-05,Apartamento 1 Quarto Centro 32m²,"Rua Da Paz, 460, Centro - Curitiba/Pr",Centro,Aluguel,980,340,44,1,1,32m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/07169002/apartamento-1-quarto-studios-portinari-centro-curitiba/,2023-11-05,Apartamento 1 Quarto Centro 35m²,"Rua Lamenha Lins, 277, Centro - Curitiba/Pr",Centro,Aluguel,1200,400,49,1,0,35m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/06075003/apartamento-1-quarto-mackenzie-residence-centro-curitiba/,2023-11-05,Apartamento 1 Quarto Centro 32m²,"Alameda Augusto Stellfeld, 1140, Centro - Curitiba/Pr",Centro,Aluguel,1150,400,27,1,0,32m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/11304001/apartamento-1-quarto-hyde-park-centro-curitiba/,2023-11-05,Apartamento 1 Quarto Centro 25m²,"Rua Nunes Machado, 79, Centro - Curitiba/Pr",Centro,Aluguel,1390,300,29,1,0,25m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/09536001/apartamento-1-quarto-napoli-centro-curitiba/,2023-11-05,Apartamento 1 Quarto Centro 40m²,"Avenida Visconde De Guarapuava, 3185, Centro - Curitiba/Pr",Centro,Aluguel,1200,460,82,1,1,40m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/13173001/apartamento-1-quarto-central-station-centro-curitiba/,2023-11-05,Apartamento 1 Quarto Centro 34m²,"Avenida Marechal Floriano Peixoto, 696, Centro - Curitiba/Pr",Centro,Aluguel,1600,350,36,1,0,34m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/15769001/apartamento-2-quartos-central-park-–-conselheiro-laurindo-centro-curitiba/,2023-11-05,Apartamento 2 Quartos Centro 77m²,"Rua Conselheiro Laurindo, 781, Centro - Curitiba/Pr",Centro,Aluguel,1800,570,92,2,0,77m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16268008/apartamento-1-quarto-la-tour-centro-curitiba/,2023-11-05,Apartamento 1 Quarto Centro 36m²,"Rua Desembargador Ermelino De Leão, 181, Centro - Curitiba/Pr",Centro,Aluguel,2200,490,45,1,0,36m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/15171003/apartamento-1-quarto-denver-centro-curitiba/,2023-11-05,Apartamento 1 Quarto Centro 23m²,"Rua Saldanha Marinho, 968, Centro - Curitiba/Pr",Centro,Aluguel,1100,440,66,1,1,23m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/01706001/apartamento-2-quartos-torres-do-sol-centro-curitiba/,2023-11-05,Apartamento 2 Quartos Centro 74m²,"Rua Doutor Pedrosa, 297, Centro - Curitiba/Pr",Centro,Aluguel,1700,430,88,2,0,74m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/92276001/apartamento-1-quarto-westphalen-centro-curitiba/,2023-11-05,Apartamento 1 Quarto Centro 34m²,"Rua Desembargador Westphalen, 610, Centro - Curitiba/Pr",Centro,Aluguel,1500,400,90,1,0,34m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16145001/apartamento-3-quartos-edificio-joao-dallegrave-centro-civico-curitiba/,2023-11-05,Apartamento 3 Quartos Centro Cívico 133m²,"Rua Comendador Fontana, 279, Centro Cívico - Curitiba/Pr",Centro Cívico,Aluguel,2900,800,133,3,1,133m²,1
